city_name,date,rain_sum (mm)
Anuradhapura,11/9/2010,14.3
Anuradhapura,11/10/2010,7.2
Anuradhapura,11/11/2010,3.2
Anuradhapura,11/12/2010,4.1
Anuradhapura,11/13/2010,2.8
Anuradhapura,11/14/2010,0.6
Anuradhapura,11/15/2010,0.1
Anuradhapura,11/16/2010,7.9
Anuradhapura,11/17/2010,16.1
Anuradhapura,11/18/2010,4.9
Anuradhapura,11/19/2010,20.2
Anuradhapura,11/20/2010,14.8
Anuradhapura,11/21/2010,43.9
Anuradhapura,11/22/2010,10.1
Anuradhapura,11/23/2010,17.8
Anuradhapura,11/24/2010,16.9
Anuradhapura,11/25/2010,10.4
Anuradhapura,11/26/2010,25.4
Anuradhapura,11/27/2010,26.0
Anuradhapura,11/28/2010,1.6
Anuradhapura,11/29/2010,1.8
Anuradhapura,11/30/2010,17.1
Anuradhapura,12/1/2010,46.0
Anuradhapura,12/2/2010,22.2
Anuradhapura,12/3/2010,53.3
Anuradhapura,12/4/2010,14.7
Anuradhapura,12/5/2010,26.4
Anuradhapura,12/6/2010,8.9
Anuradhapura,12/7/2010,9.9
Anuradhapura,12/8/2010,10.8
Anuradhapura,12/9/2010,5.9
Anuradhapura,12/10/2010,1.0
Anuradhapura,12/11/2010,0.7
Anuradhapura,12/12/2010,2.9
Anuradhapura,12/13/2010,0.0
Anuradhapura,12/14/2010,2.0
Anuradhapura,12/15/2010,2.1
Anuradhapura,12/16/2010,0.5
Anuradhapura,12/17/2010,1.1
Anuradhapura,12/18/2010,2.5
Anuradhapura,12/19/2010,0.0
Anuradhapura,12/20/2010,2.4
Anuradhapura,12/21/2010,9.4
Anuradhapura,12/22/2010,5.5
Anuradhapura,12/23/2010,11.8
Anuradhapura,12/24/2010,167.6
Anuradhapura,12/25/2010,70.8
Anuradhapura,12/26/2010,26.8
Anuradhapura,12/27/2010,5.2
Anuradhapura,12/28/2010,26.1
Anuradhapura,12/29/2010,4.4
Anuradhapura,12/30/2010,14.8
Anuradhapura,12/31/2010,31.1
Anuradhapura,1/1/2011,26.0
Anuradhapura,1/2/2011,13.8
Anuradhapura,1/3/2011,2.4
Anuradhapura,1/4/2011,5.9
Anuradhapura,1/5/2011,17.6
Anuradhapura,1/6/2011,3.3
Anuradhapura,1/7/2011,11.7
Anuradhapura,1/8/2011,100.4
Anuradhapura,1/9/2011,52.5
Anuradhapura,1/10/2011,5.9
Anuradhapura,1/11/2011,3.0
Anuradhapura,1/12/2011,1.0
Anuradhapura,1/13/2011,65.6
Anuradhapura,1/14/2011,14.2
Anuradhapura,1/15/2011,2.7
Anuradhapura,1/16/2011,1.7
Anuradhapura,1/17/2011,1.4
Anuradhapura,1/18/2011,0.0
Anuradhapura,1/19/2011,0.0
Anuradhapura,1/20/2011,0.0
Anuradhapura,1/21/2011,0.0
Anuradhapura,1/22/2011,0.0
Anuradhapura,1/23/2011,0.3
Anuradhapura,1/24/2011,0.0
Anuradhapura,1/25/2011,0.4
Anuradhapura,1/26/2011,3.0
Anuradhapura,1/27/2011,1.0
Anuradhapura,1/28/2011,6.3
Anuradhapura,1/29/2011,5.8
Anuradhapura,1/30/2011,4.5
Anuradhapura,1/31/2011,3.5
Anuradhapura,2/1/2011,20.7
Anuradhapura,2/2/2011,42.6
Anuradhapura,2/3/2011,122.8
Anuradhapura,2/4/2011,119.8
Anuradhapura,2/5/2011,43.7
Anuradhapura,2/6/2011,11.1
Anuradhapura,2/7/2011,12.3
Anuradhapura,2/8/2011,3.0
Anuradhapura,2/9/2011,0.4
Anuradhapura,2/10/2011,0.0
Anuradhapura,2/11/2011,0.0
Anuradhapura,2/12/2011,0.0
Anuradhapura,2/13/2011,0.0
Anuradhapura,2/14/2011,0.0
Anuradhapura,2/15/2011,0.0
Anuradhapura,2/16/2011,0.0
Anuradhapura,2/17/2011,0.0
Anuradhapura,2/18/2011,0.0
Anuradhapura,2/19/2011,0.0
Anuradhapura,2/20/2011,1.2
Anuradhapura,2/21/2011,3.9
Anuradhapura,2/22/2011,0.2
Anuradhapura,2/23/2011,0.0
Anuradhapura,2/24/2011,0.0
Anuradhapura,2/25/2011,0.0
Anuradhapura,2/26/2011,0.0
Anuradhapura,2/27/2011,0.0
Anuradhapura,2/28/2011,6.1
Anuradhapura,3/1/2011,2.3
Anuradhapura,3/2/2011,1.4
Anuradhapura,3/3/2011,7.5
Anuradhapura,3/4/2011,3.3
Anuradhapura,3/5/2011,0.9
Anuradhapura,3/6/2011,0.2
Anuradhapura,3/7/2011,0.0
Anuradhapura,3/8/2011,0.0
Anuradhapura,3/9/2011,0.0
Anuradhapura,3/10/2011,0.0
Anuradhapura,3/11/2011,0.0
Anuradhapura,3/12/2011,1.5
Anuradhapura,3/13/2011,1.5
Anuradhapura,3/14/2011,3.8
Anuradhapura,3/15/2011,1.7
Anuradhapura,3/16/2011,1.6
Anuradhapura,3/17/2011,0.0
Anuradhapura,3/18/2011,0.0
Anuradhapura,3/19/2011,0.5
Anuradhapura,3/20/2011,4.1
Anuradhapura,3/21/2011,3.1
Anuradhapura,3/22/2011,0.0
Anuradhapura,3/23/2011,0.8
Anuradhapura,3/24/2011,1.5
Anuradhapura,3/25/2011,0.8
Anuradhapura,3/26/2011,1.5
Anuradhapura,3/27/2011,1.4
Anuradhapura,3/28/2011,0.2
Anuradhapura,3/29/2011,0.1
Anuradhapura,3/30/2011,0.0
Anuradhapura,3/31/2011,0.0
Anuradhapura,4/1/2011,0.0
Anuradhapura,4/2/2011,0.0
Anuradhapura,4/3/2011,1.3
Anuradhapura,4/4/2011,0.0
Anuradhapura,4/5/2011,0.7
Anuradhapura,4/6/2011,0.8
Anuradhapura,4/7/2011,3.3
Anuradhapura,4/8/2011,1.3
Anuradhapura,4/9/2011,0.2
Anuradhapura,4/10/2011,2.1
Anuradhapura,4/11/2011,6.9
Anuradhapura,4/12/2011,7.2
Anuradhapura,4/13/2011,11.5
Anuradhapura,4/14/2011,7.1
Anuradhapura,4/15/2011,0.8
Anuradhapura,4/16/2011,16.0
Anuradhapura,4/17/2011,9.3
Anuradhapura,4/18/2011,13.9
Anuradhapura,4/19/2011,14.7
Anuradhapura,4/20/2011,4.8
Anuradhapura,4/21/2011,28.0
Anuradhapura,4/22/2011,11.2
Anuradhapura,4/23/2011,7.8
Anuradhapura,4/24/2011,12.3
Anuradhapura,4/25/2011,10.4
Anuradhapura,4/26/2011,8.7
Anuradhapura,4/27/2011,10.5
Anuradhapura,4/28/2011,3.4
Anuradhapura,4/29/2011,0.8
Anuradhapura,4/30/2011,2.1
Anuradhapura,5/1/2011,0.7
Anuradhapura,5/2/2011,1.4
Anuradhapura,5/3/2011,0.9
Anuradhapura,5/4/2011,1.1
Anuradhapura,5/5/2011,0.9
Anuradhapura,5/6/2011,0.0
Anuradhapura,5/7/2011,0.2
Anuradhapura,5/8/2011,0.0
Anuradhapura,5/9/2011,0.0
Anuradhapura,5/10/2011,0.0
Anuradhapura,5/11/2011,1.0
Anuradhapura,5/12/2011,0.6
Anuradhapura,5/13/2011,0.0
Anuradhapura,5/14/2011,0.0
Anuradhapura,5/15/2011,2.8
Anuradhapura,5/16/2011,0.1
Anuradhapura,5/17/2011,1.7
Anuradhapura,5/18/2011,0.1
Anuradhapura,5/19/2011,0.2
Anuradhapura,5/20/2011,0.0
Anuradhapura,5/21/2011,0.8
Anuradhapura,5/22/2011,1.1
